StateAbbreviation,ResponsibleDistrictIdentifier,ResponsibleInstitutionIdentifier,LastOrSurname,FirstName,MiddleName,Birthdate,SSID,ExternalSSID,GradeLevelWhenAssessed,Sex,HispanicOrLatinoEthnicity,AmericanIndianOrAlaskaNative,Asian,BlackOrAfricanAmerican,White,NativeHawaiianOrOtherPacificIslander,DemographicRaceTwoOrMoreRaces,IDEAIndicator,LEPStatus,Section504Status,EconomicDisadvantageStatus,LanguageCode,EnglishLanguageProficiencyLevel,MigrantStatus,FirstEntryDateIntoUSSchool,LimitedEnglishProficiencyEntryDate,LEPExitDate,TitleIIILanguageInstructionProgramType,PrimaryDisabilityType,Delete
OR,TEST,TEST,LastName53,Name53,MiddleName53,,LTSTUDENT53,LTSTUDENT53,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName54,Name54,MiddleName54,,LTSTUDENT54,LTSTUDENT54,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName55,Name55,MiddleName55,,LTSTUDENT55,LTSTUDENT55,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName56,Name56,MiddleName56,,LTSTUDENT56,LTSTUDENT56,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName57,Name57,MiddleName57,,LTSTUDENT57,LTSTUDENT57,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName58,Name58,MiddleName58,,LTSTUDENT58,LTSTUDENT58,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName59,Name59,MiddleName59,,LTSTUDENT59,LTSTUDENT59,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName60,Name60,MiddleName60,,LTSTUDENT60,LTSTUDENT60,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName61,Name61,MiddleName61,,LTSTUDENT61,LTSTUDENT61,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName62,Name62,MiddleName62,,LTSTUDENT62,LTSTUDENT62,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName63,Name63,MiddleName63,,LTSTUDENT63,LTSTUDENT63,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName64,Name64,MiddleName64,,LTSTUDENT64,LTSTUDENT64,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName65,Name65,MiddleName65,,LTSTUDENT65,LTSTUDENT65,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName66,Name66,MiddleName66,,LTSTUDENT66,LTSTUDENT66,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName67,Name67,MiddleName67,,LTSTUDENT67,LTSTUDENT67,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName68,Name68,MiddleName68,,LTSTUDENT68,LTSTUDENT68,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName69,Name69,MiddleName69,,LTSTUDENT69,LTSTUDENT69,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName70,Name70,MiddleName70,,LTSTUDENT70,LTSTUDENT70,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName71,Name71,MiddleName71,,LTSTUDENT71,LTSTUDENT71,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName72,Name72,MiddleName72,,LTSTUDENT72,LTSTUDENT72,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName73,Name73,MiddleName73,,LTSTUDENT73,LTSTUDENT73,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName74,Name74,MiddleName74,,LTSTUDENT74,LTSTUDENT74,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName75,Name75,MiddleName75,,LTSTUDENT75,LTSTUDENT75,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName76,Name76,MiddleName76,,LTSTUDENT76,LTSTUDENT76,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName77,Name77,MiddleName77,,LTSTUDENT77,LTSTUDENT77,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName78,Name78,MiddleName78,,LTSTUDENT78,LTSTUDENT78,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName79,Name79,MiddleName79,,LTSTUDENT79,LTSTUDENT79,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName80,Name80,MiddleName80,,LTSTUDENT80,LTSTUDENT80,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName81,Name81,MiddleName81,,LTSTUDENT81,LTSTUDENT81,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName82,Name82,MiddleName82,,LTSTUDENT82,LTSTUDENT82,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName83,Name83,MiddleName83,,LTSTUDENT83,LTSTUDENT83,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName84,Name84,MiddleName84,,LTSTUDENT84,LTSTUDENT84,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName85,Name85,MiddleName85,,LTSTUDENT85,LTSTUDENT85,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName86,Name86,MiddleName86,,LTSTUDENT86,LTSTUDENT86,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName87,Name87,MiddleName87,,LTSTUDENT87,LTSTUDENT87,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName88,Name88,MiddleName88,,LTSTUDENT88,LTSTUDENT88,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName89,Name89,MiddleName89,,LTSTUDENT89,LTSTUDENT89,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName90,Name90,MiddleName90,,LTSTUDENT90,LTSTUDENT90,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName91,Name91,MiddleName91,,LTSTUDENT91,LTSTUDENT91,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName92,Name92,MiddleName92,,LTSTUDENT92,LTSTUDENT92,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName93,Name93,MiddleName93,,LTSTUDENT93,LTSTUDENT93,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName94,Name94,MiddleName94,,LTSTUDENT94,LTSTUDENT94,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName95,Name95,MiddleName95,,LTSTUDENT95,LTSTUDENT95,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName96,Name96,MiddleName96,,LTSTUDENT96,LTSTUDENT96,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName97,Name97,MiddleName97,,LTSTUDENT97,LTSTUDENT97,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName98,Name98,MiddleName98,,LTSTUDENT98,LTSTUDENT98,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName99,Name99,MiddleName99,,LTSTUDENT99,LTSTUDENT99,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName100,Name100,MiddleName100,,LTSTUDENT100,LTSTUDENT100,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName101,Name101,MiddleName101,,LTSTUDENT101,LTSTUDENT101,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName102,Name102,MiddleName102,,LTSTUDENT102,LTSTUDENT102,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName103,Name103,MiddleName103,,LTSTUDENT103,LTSTUDENT103,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName104,Name104,MiddleName104,,LTSTUDENT104,LTSTUDENT104,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName105,Name105,MiddleName105,,LTSTUDENT105,LTSTUDENT105,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName106,Name106,MiddleName106,,LTSTUDENT106,LTSTUDENT106,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName107,Name107,MiddleName107,,LTSTUDENT107,LTSTUDENT107,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName108,Name108,MiddleName108,,LTSTUDENT108,LTSTUDENT108,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName109,Name109,MiddleName109,,LTSTUDENT109,LTSTUDENT109,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName110,Name110,MiddleName110,,LTSTUDENT110,LTSTUDENT110,03,Male,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName111,Name111,MiddleName111,,LTSTUDENT111,LTSTUDENT111,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName112,Name112,MiddleName112,,LTSTUDENT112,LTSTUDENT112,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName113,Name113,MiddleName113,,LTSTUDENT113,LTSTUDENT113,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName114,Name114,MiddleName114,,LTSTUDENT114,LTSTUDENT114,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName115,Name115,MiddleName115,,LTSTUDENT115,LTSTUDENT115,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName116,Name116,MiddleName116,,LTSTUDENT116,LTSTUDENT116,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName117,Name117,MiddleName117,,LTSTUDENT117,LTSTUDENT117,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName118,Name118,MiddleName118,,LTSTUDENT118,LTSTUDENT118,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName119,Name119,MiddleName119,,LTSTUDENT119,LTSTUDENT119,03,Male,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName120,Name120,MiddleName120,,LTSTUDENT120,LTSTUDENT120,03,Female,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName121,Name121,MiddleName121,,LTSTUDENT121,LTSTUDENT121,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName122,Name122,MiddleName122,,LTSTUDENT122,LTSTUDENT122,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName123,Name123,MiddleName123,,LTSTUDENT123,LTSTUDENT123,03,Male,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName124,Name124,MiddleName124,,LTSTUDENT124,LTSTUDENT124,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName125,Name125,MiddleName125,,LTSTUDENT125,LTSTUDENT125,03,Female,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName126,Name126,MiddleName126,,LTSTUDENT126,LTSTUDENT126,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName127,Name127,MiddleName127,,LTSTUDENT127,LTSTUDENT127,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName128,Name128,MiddleName128,,LTSTUDENT128,LTSTUDENT128,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName129,Name129,MiddleName129,,LTSTUDENT129,LTSTUDENT129,03,Female,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName130,Name130,MiddleName130,,LTSTUDENT130,LTSTUDENT130,03,Female,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName131,Name131,MiddleName131,,LTSTUDENT131,LTSTUDENT131,03,Female,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName132,Name132,MiddleName132,,LTSTUDENT132,LTSTUDENT132,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName133,Name133,MiddleName133,,LTSTUDENT133,LTSTUDENT133,03,Male,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName134,Name134,MiddleName134,,LTSTUDENT134,LTSTUDENT134,03,Male,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName135,Name135,MiddleName135,,LTSTUDENT135,LTSTUDENT135,03,Male,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
OR,TEST,TEST,LastName136,Name136,MiddleName136,,LTSTUDENT136,LTSTUDENT136,03,Female,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,NO,,,,,,
